Unnamed: 0,text,label
28472,对啊!!!不知道在哪里 ,6
11742,我只想知道别人先动手，还手打伤对方呢？ ,6
19915,我不管，我要看更新的图 ,6
16048,什么问题啊？再发一次。 ,6
12303,我还一个个用输入法翻译 ,6
11887,这高度已经望尘莫及了 ,6
1510,你还长高了？ ,6
3705,直接买，犹豫个啥！！！ ,6
31533,一半也有20页！！！好吗！！！也是人生路向上走的20页！！！好吗！！！ ,6
30103,意思是天分和外表无关吗 ,6
29711,还会有人给你买毛绒玩具吗？ ,6
4226,我明早就走了，要不要请我吃个宵夜 ,6
9926,可是你的从白粉变成全粉，我想知道怎么从白色变成粉色。我的桃美人依然很白。 ,6
26039,你吃亏没啊？呵呵 ,6
17486,车车需要沉淀【掩饰我懒】 ,6
10794,你是去看的，又不是植的 ,6
18618,为啥？那么快？ ,6
14915,你在逗我们么？ ,6
19839,我爸说以前都是拿炉钩子烫 ,6
13535,全国人民都希望天津输 ,6
15562,什么教训？？？ ,6
2869,还是比我矮喔 ,6
23220,人已清醒还是觉得好真实 ,6
18471,感受到你最近胖了…不露脸了 ,6
947,不同程度，侧重点不同，不能同一个标准。每个人根据年龄，病史，诊断，严重程度不同，要求都不一样。所以应该是个体化计划。 ,6
9679,囊个看，我应该只看得到第一张。在新西兰这个农村好多东西都没的，老火啊！ ,6
14800,此秀丽姐非彼秀丽 ,6
21518,告诉小白，红包太少的话新娘就是我的！！！ ,6
31697,你说的是你吧！！！我姐夫他老婆！！！ ,6
28720,那我有好多你买给我吧 ,6
12621,注意到了，前段时间所以现在嘞？ ,6
5266,我看自己的头像有点不自然 ,6
12212,呃，难道不累么，累了就很快睡着了。或者锻炼一下，让自己比较累。 ,6
20501,没爆照之前小心点要是那个刘宝宝怎么办呢 ,6
17443,贫贱之交不可忘，糟糠之妻不下堂 ,6
6943,只能做到爱一个人在一起时不会爱上别人。 ,6
17385,看到我朋友在里面 ,6
5177,鼠类中暑怎么办？虽然现在是冬天、这个问题已困扰我很久了 ,6
31128,你想多了。上班无时间，下班捻住加班做下自己d野，一个二个来稳我要哩样问果样！！ ,6
12176,对啊我只能分手快乐亲你昨晚是为我听的么？ ,6
28760,这勇敢的一对到底是谁啊？ ,6
14292,吃主食会胖丫？ ,6
9098,夏天记得要用盐水擦一下藤编这样保养时间更久不易生虫 ,6
25067,都可一般吧？ ,6
28966,不再对充满失望的生活怀有希望 ,6
10404,双鱼座跳跃的思维回头也跟我讲讲啊 ,6
20006,不要说出来还有你的70g种子 ,6
8292,一个人懒太寂寞，找只狗一起懒 ,6
14480,black负责拍片，我负责看风景，攻略前得先盗图 ,6
22113,求推荐不容易勾丝的丝袜 ,6
12845,中蓝大厅的超市！！需要代购吗 ,6
